room_id,check_in,check_out,room_name,room_plan,price
6bd4c1fad5f0fda81f452b01e61a1a36,5/13/2025,5/14/2025,Super Deluxe Room With Balcony,CP,7077
6bd4c1fad5f0fda81f452b01e61a1a36,5/14/2025,5/15/2025,Super Deluxe Room With Balcony,EP,5614
6bd4c1fad5f0fda81f452b01e61a1a36,5/14/2025,5/15/2025,Super Deluxe Room With Balcony,CP,5614
6bd4c1fad5f0fda81f452b01e61a1a36,5/14/2025,5/15/2025,Super Deluxe Room With Balcony,CP,7077
6bd4c1fad5f0fda81f452b01e61a1a36,5/15/2025,5/16/2025,Super Deluxe Room With Balcony,EP,5614
6bd4c1fad5f0fda81f452b01e61a1a36,5/15/2025,5/16/2025,Super Deluxe Room With Balcony,CP,5614
6bd4c1fad5f0fda81f452b01e61a1a36,5/15/2025,5/16/2025,Super Deluxe Room With Balcony,CP,7077
6bd4c1fad5f0fda81f452b01e61a1a36,5/16/2025,5/17/2025,Super Deluxe Room With Balcony,EP,6593
6bd4c1fad5f0fda81f452b01e61a1a36,5/16/2025,5/17/2025,Super Deluxe Room With Balcony,CP,6593
6bd4c1fad5f0fda81f452b01e61a1a36,5/16/2025,5/17/2025,Super Deluxe Room With Balcony,CP,8056
6bd4c1fad5f0fda81f452b01e61a1a36,5/17/2025,5/18/2025,Super Deluxe Room With Balcony,EP,6593
6bd4c1fad5f0fda81f452b01e61a1a36,5/17/2025,5/18/2025,Super Deluxe Room With Balcony,CP,6593
6bd4c1fad5f0fda81f452b01e61a1a36,5/17/2025,5/18/2025,Super Deluxe Room With Balcony,CP,8056
5a9d8ba7ee6769e3aec572c063da3d29,5/18/2025,5/19/2025,Standard Room Non View,EP,4398
5a9d8ba7ee6769e3aec572c063da3d29,5/18/2025,5/19/2025,Standard Room Non View,CP,4398
5a9d8ba7ee6769e3aec572c063da3d29,5/18/2025,5/19/2025,Standard Room Non View,CP,5861
6bd4c1fad5f0fda81f452b01e61a1a36,5/18/2025,5/19/2025,Super Deluxe Room With Balcony,EP,5614
6bd4c1fad5f0fda81f452b01e61a1a36,5/18/2025,5/19/2025,Super Deluxe Room With Balcony,CP,5614
6bd4c1fad5f0fda81f452b01e61a1a36,5/18/2025,5/19/2025,Super Deluxe Room With Balcony,CP,7077
5a9d8ba7ee6769e3aec572c063da3d29,5/19/2025,5/20/2025,Standard Room Non View,EP,4398
5a9d8ba7ee6769e3aec572c063da3d29,5/19/2025,5/20/2025,Standard Room Non View,CP,4398
5a9d8ba7ee6769e3aec572c063da3d29,5/19/2025,5/20/2025,Standard Room Non View,CP,5861
6bd4c1fad5f0fda81f452b01e61a1a36,5/19/2025,5/20/2025,Super Deluxe Room With Balcony,EP,5614
6bd4c1fad5f0fda81f452b01e61a1a36,5/19/2025,5/20/2025,Super Deluxe Room With Balcony,CP,5614
